BELGRADE_cloud_cover,BELGRADE_humidity,BELGRADE_pressure,BELGRADE_global_radiation,BELGRADE_precipitation,BELGRADE_sunshine,BELGRADE_temp_mean,BELGRADE_temp_min,BELGRADE_temp_max
8,0.95,1.0105,0.29,0.62,0.0,9.1,8.0,12.0
6,0.83,1.0136,1.02,0.01,6.0,8.3,4.6,11.8
3,0.9,1.0194,0.66,0.01,2.2,7.6,4.8,11.1
8,0.86,1.0085,0.28,0.35,0.0,9.5,6.0,13.4
5,0.89,1.014,0.33,0.0,0.1,8.2,6.4,11.0
3,0.88,1.0169,0.6,0.0,1.8,10.0,5.2,13.0
7,0.71,1.0152,0.72,0.02,3.1,15.1,9.6,21.4
8,0.82,1.0129,0.32,0.18,0.1,12.5,10.4,15.8
8,0.87,1.0177,0.27,0.09,0.0,7.2,6.3,10.5
7,0.75,1.0143,0.86,0.0,5.0,9.7,6.4,13.0
6,0.84,1.0173,0.52,0.0,1.4,6.2,4.3,10.1
8,0.81,1.0177,0.26,0.0,0.0,7.6,3.1,9.4
6,0.81,1.0144,0.55,1.21,1.7,8.3,3.5,12.8
5,0.84,1.0142,0.4,0.51,0.6,6.6,5.2,10.1
1,0.59,1.0239,1.02,0.0,7.9,8.6,2.8,14.3
3,0.61,1.0175,0.64,0.0,2.8,8.1,5.8,12.6
6,0.75,1.0123,0.44,0.13,1.0,6.0,4.3,8.8
8,0.92,1.0139,0.24,1.41,0.0,6.9,6.0,8.3
8,0.97,1.0168,0.24,0.31,0.0,7.2,5.6,8.0
5,0.88,1.0186,0.76,0.0,4.6,8.0,6.2,11.2
7,0.8,1.0159,0.79,0.0,5.0,9.0,2.0,13.0
7,0.72,1.0128,0.32,0.0,0.3,11.9,10.0,15.3
8,0.8,1.0142,0.27,0.65,0.1,8.2,4.3,15.1
1,0.71,1.0316,0.93,0.0,7.5,5.1,2.0,9.0
0,0.63,1.0302,0.98,0.0,8.4,6.8,2.5,13.0
2,0.72,1.024,0.94,0.0,7.7,5.5,1.6,13.0
2,0.79,1.0245,0.87,0.0,6.5,6.1,0.8,12.0
6,0.71,1.0192,0.57,0.0,2.1,9.1,2.1,13.2
2,0.54,1.0155,0.92,0.0,7.7,12.0,7.1,18.1
6,0.57,1.0119,0.47,0.0,1.2,11.9,8.0,15.3
7,0.59,1.0075,0.36,0.0,0.4,12.0,9.1,13.5
5,0.74,1.0057,0.5,0.2,1.5,11.1,8.9,13.7
8,0.64,1.008,0.55,0.0,2.1,14.7,10.2,18.2
5,0.72,1.005,0.51,0.01,1.6,12.7,10.3,15.2
8,0.92,1.004,0.24,3.29,0.0,8.9,7.3,11.8
8,0.89,1.0126,0.24,0.6,0.0,3.9,3.0,7.5
8,0.97,1.0053,0.24,1.16,0.0,2.1,1.5,3.3
5,0.85,1.0085,0.74,0.0,4.9,3.7,1.0,7.4
4,0.77,1.0198,0.67,0.0,3.8,8.0,2.0,12.4
3,0.84,1.0268,0.62,0.02,3.1,7.4,5.3,12.0
8,0.99,1.026,0.24,0.01,0.0,4.0,3.4,6.0
5,0.84,1.013,0.35,0.52,0.4,6.1,3.0,6.7
4,0.8,1.008,0.66,0.01,3.7,9.2,5.0,12.8
1,0.59,1.0082,0.9,0.0,7.9,10.2,5.6,15.3
7,0.66,1.0067,0.24,0.08,0.0,11.1,7.6,12.1
8,0.9,1.0079,0.24,0.84,0.0,9.2,8.0,12.0
8,0.95,1.0104,0.24,0.5,0.0,3.4,1.9,8.8
8,0.9,1.0134,0.24,0.0,0.0,3.3,2.0,4.2
8,0.95,1.0142,0.24,0.68,0.0,0.6,0.0,3.5
4,0.86,1.0216,0.67,0.0,3.7,1.1,0.0,3.6
4,0.9,1.0145,0.79,0.0,5.7,1.4,-0.9,5.2
8,0.98,1.0083,0.24,0.0,0.0,1.6,0.0,2.6
8,0.92,1.0082,0.24,0.1,0.0,1.9,1.3,2.7
8,0.93,1.0177,0.24,0.01,0.0,1.7,0.7,2.2
8,0.9,1.0184,0.24,0.0,0.0,2.9,1.4,3.4
