BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max
8,0.96,1.018,0.36,2.62,0.0,2.7,2.0,4.4
8,0.94,1.018,0.36,0.74,0.0,4.6,1.4,6.2
8,0.89,1.018,0.35,0.01,0.0,5.4,3.1,7.6
4,0.75,1.018,1.31,0.0,7.9,7.2,2.3,14.7
7,0.78,1.018,0.89,0.0,3.1,8.2,3.3,12.7
8,0.8,1.018,0.34,0.45,0.0,8.9,5.5,11.9
7,0.78,1.018,0.79,0.0,2.4,8.6,6.1,15.2
8,0.86,1.018,0.33,0.17,0.0,8.7,5.3,12.2
8,0.92,1.018,0.32,0.3,0.0,10.0,7.2,11.5
6,0.88,1.018,0.66,0.39,1.6,10.7,7.6,14.9
6,0.86,1.018,0.9,0.52,3.9,11.7,6.8,18.1
6,0.79,1.018,0.85,0.06,3.5,10.2,7.7,15.7
3,0.66,1.018,1.05,0.0,6.1,10.4,5.8,18.6
7,0.8,1.018,0.52,0.03,0.8,8.7,4.4,14.3
8,0.83,1.018,0.77,0.0,3.0,11.0,4.9,18.9
6,0.67,1.018,0.8,0.02,3.4,9.3,6.4,15.2
7,0.84,1.018,0.54,0.06,1.1,8.9,4.8,13.5
8,0.73,1.018,0.47,0.64,0.7,14.6,7.7,18.7
6,0.58,1.018,1.01,0.0,6.6,9.6,4.9,18.1
3,0.6,1.018,0.87,0.0,4.8,10.8,3.9,18.1
8,0.78,1.018,0.42,1.05,0.5,9.1,6.0,12.6
7,0.77,1.018,0.51,0.0,1.1,5.8,2.9,10.7
7,0.89,1.018,0.51,0.1,1.2,5.6,4.1,9.6
8,0.93,1.018,0.31,0.06,0.1,4.3,2.8,7.1
8,0.88,1.018,0.42,0.0,0.6,3.3,1.8,6.1
6,0.85,1.018,0.48,0.03,1.1,2.5,-2.7,5.9
8,0.76,1.018,0.65,0.36,2.9,6.8,2.6,10.0
7,0.85,1.018,0.4,0.57,0.6,9.1,5.5,12.6
7,0.94,1.018,0.24,0.88,0.0,7.2,5.8,10.7
